22.0	17.0	42.0	36.0	23.0	7.0	51.0	30.0	4.0	38.0	
24.0	39.0	34.0	56.0	6.0	33.0	38.0	29.0	17.0	42.0	
42.0	4.0	33.0	23.0	44.0	38.0	21.0	36.0	57.0	7.0	
42.0	4.0	33.0	23.0	22.0	17.0	21.0	38.0	44.0	36.0	
7.0	17.0	33.0	30.0	42.0	29.0	56.0	24.0	4.0	36.0	
7.0	30.0	17.0	6.0	36.0	33.0	45.0	32.0	22.0	38.0	
24.0	39.0	34.0	56.0	7.0	5.0	16.0	6.0	33.0	55.0	
17.0	7.0	42.0	36.0	51.0	6.0	38.0	29.0	24.0	44.0	
17.0	33.0	42.0	22.0	38.0	4.0	30.0	6.0	56.0	29.0	
17.0	36.0	42.0	22.0	21.0	33.0	30.0	38.0	51.0	29.0	
7.0	33.0	38.0	42.0	56.0	30.0	29.0	24.0	6.0	36.0	
42.0	17.0	22.0	21.0	33.0	4.0	38.0	7.0	57.0	44.0	
36.0	42.0	22.0	21.0	33.0	4.0	38.0	51.0	44.0	57.0	
42.0	17.0	33.0	22.0	23.0	4.0	44.0	36.0	7.0	56.0	
17.0	30.0	36.0	7.0	29.0	22.0	42.0	51.0	23.0	33.0	
17.0	42.0	33.0	7.0	22.0	36.0	23.0	38.0	30.0	4.0	
7.0	17.0	30.0	29.0	36.0	51.0	42.0	21.0	22.0	33.0	
56.0	24.0	39.0	34.0	33.0	38.0	7.0	16.0	11.0	17.0	
17.0	7.0	30.0	42.0	38.0	36.0	29.0	56.0	4.0	24.0	
33.0	17.0	42.0	4.0	56.0	30.0	22.0	29.0	36.0	34.0	
17.0	29.0	24.0	36.0	42.0	33.0	38.0	51.0	56.0	23.0	
42.0	4.0	33.0	23.0	38.0	17.0	57.0	56.0	8.0	36.0	
7.0	6.0	29.0	30.0	32.0	17.0	33.0	34.0	5.0	38.0	
33.0	38.0	42.0	56.0	4.0	17.0	7.0	23.0	22.0	24.0	
33.0	4.0	44.0	56.0	25.0	21.0	11.0	36.0	24.0	30.0	
7.0	17.0	38.0	56.0	42.0	29.0	6.0	22.0	4.0	34.0	
42.0	33.0	23.0	21.0	36.0	22.0	7.0	38.0	51.0	30.0	
21.0	22.0	42.0	17.0	57.0	58.0	33.0	38.0	44.0	15.0	
33.0	38.0	17.0	7.0	42.0	56.0	4.0	30.0	29.0	44.0	
7.0	17.0	6.0	30.0	29.0	42.0	24.0	22.0	36.0	32.0	
36.0	21.0	23.0	58.0	17.0	22.0	51.0	4.0	15.0	33.0	
7.0	29.0	32.0	24.0	17.0	5.0	51.0	33.0	36.0	22.0	
33.0	38.0	42.0	17.0	44.0	7.0	11.0	36.0	30.0	21.0	
17.0	21.0	51.0	23.0	22.0	30.0	7.0	29.0	33.0	6.0	
17.0	42.0	36.0	21.0	7.0	23.0	4.0	51.0	38.0	30.0	
7.0	33.0	42.0	56.0	29.0	6.0	24.0	36.0	22.0	4.0	
58.0	8.0	23.0	21.0	42.0	22.0	4.0	15.0	44.0	17.0	
36.0	42.0	51.0	7.0	23.0	30.0	22.0	33.0	29.0	6.0	
17.0	42.0	7.0	21.0	33.0	22.0	51.0	4.0	30.0	6.0	
42.0	17.0	23.0	22.0	36.0	4.0	21.0	38.0	51.0	57.0	
57.0	21.0	23.0	17.0	22.0	38.0	25.0	8.0	7.0	56.0	
7.0	30.0	6.0	17.0	24.0	32.0	33.0	34.0	22.0	42.0	
44.0	33.0	42.0	17.0	23.0	22.0	7.0	21.0	36.0	57.0	
17.0	36.0	42.0	23.0	22.0	21.0	33.0	51.0	30.0	38.0	
17.0	7.0	33.0	30.0	22.0	23.0	6.0	36.0	4.0	32.0	
